BDU,VEDAS
BDU:2014-00202,0.0
BDU:2014-00205,0.0038920000000000343
BDU:2014-00213,0.0
BDU:2014-00215,0.0038921000000000094
BDU:2014-00209,0.0
BDU:2014-00204,0.0
BDU:2014-00203,0.003711800000000015
BDU:2014-00207,0.0038921000000000094
BDU:2014-00221,0.0
BDU:2014-00201,0.0
BDU:2014-00211,0.0
BDU:2014-00206,0.0
BDU:2014-00220,0.0
BDU:2014-00217,0.0
BDU:2014-00222,0.0
BDU:2014-00210,0.003911299999999979
BDU:2014-00219,0.0
BDU:2014-00224,0.0
BDU:2014-00233,0.0029372000000000287
BDU:2014-00236,0.0
BDU:2014-00214,0.0
BDU:2014-00240,0.0
BDU:2014-00208,0.0039113000000000064
BDU:2014-00223,0.0
BDU:2014-00226,0.0
BDU:2014-00245,0.0
BDU:2014-00235,0.0
BDU:2014-00242,0.0
BDU:2014-00276,0.0
BDU:2014-00231,0.0
BDU:2014-00256,0.0
BDU:2014-00234,0.0
BDU:2014-00246,0.0
BDU:2014-00260,0.0
BDU:2014-00287,0.0
BDU:2014-00271,0.0
BDU:2014-00108,0.0
BDU:2014-00102,0.0
BDU:2014-00140,0.0
BDU:2014-00114,0.0
BDU:2014-00128,0.0
BDU:2014-00227,0.0
BDU:2014-00247,0.0
BDU:2014-00251,0.0
BDU:2014-00268,0.0
BDU:2014-00238,0.0
BDU:2014-00250,0.0
BDU:2014-00265,0.0
BDU:2014-00285,0.0
BDU:2014-00225,0.0
BDU:2014-00218,0.0
BDU:2014-00243,0.0
BDU:2014-00230,0.0
BDU:2014-00239,0.0
BDU:2014-00212,0.0
BDU:2014-00117,0.0
BDU:2014-00126,0.0
BDU:2014-00164,0.0
BDU:2014-00267,0.0
BDU:2014-00278,0.0
BDU:2014-00142,0.0
BDU:2014-00158,0.0
BDU:2014-00136,0.0
BDU:2014-00107,0.0
BDU:2014-00175,0.0
BDU:2014-00249,0.0
BDU:2014-00313,0.0
BDU:2014-00258,0.0
BDU:2014-00110,0.0
BDU:2014-00123,0.005874500000000005
BDU:2014-00277,0.0
BDU:2014-00109,0.0
BDU:2014-00255,0.0
BDU:2014-00165,0.003785700000000003
BDU:2014-00199,0.0
BDU:2014-00130,0.0038921000000000094
BDU:2014-00264,0.0
BDU:2014-00177,0.0
BDU:2014-00151,0.0
BDU:2014-00188,0.0
BDU:2014-00150,0.0038920000000000066
BDU:2014-00168,0.0
BDU:2014-00147,0.0
BDU:2014-00007,0.0
BDU:2014-00296,0.0
BDU:2014-00290,0.0
BDU:2014-00469,0.0
BDU:2014-00308,0.0
BDU:2014-00166,0.0039103000000000054
BDU:2014-00182,0.0
BDU:2014-00305,0.0
BDU:2014-00446,0.0
BDU:2014-00170,0.0
BDU:2014-00289,0.0
BDU:2014-00055,0.0
BDU:2014-00259,0.0
BDU:2014-00332,0.0
BDU:2014-00261,0.0
BDU:2014-00282,0.0
BDU:2014-00328,0.0
BDU:2014-00322,0.0
BDU:2014-00307,0.0
BDU:2014-00386,0.0
BDU:2014-00144,0.0
BDU:2014-00162,0.0
BDU:2014-00179,0.0039113000000000064
BDU:2014-00176,0.0
BDU:2014-00167,0.0
BDU:2014-00324,0.0
BDU:2014-00004,0.0
BDU:2014-00344,0.0
BDU:2014-00283,0.0
BDU:2014-00262,0.0
BDU:2014-00288,0.0
BDU:2014-00316,0.0
BDU:2014-00422,0.0
BDU:2014-00462,0.0
BDU:2014-00190,0.0
BDU:2014-00333,0.0
BDU:2014-00298,0.0
BDU:2014-00024,0.0
BDU:2014-00105,0.0
BDU:2014-00340,0.0
BDU:2014-00122,0.0
BDU:2014-00111,0.0
BDU:2014-00178,0.0
BDU:2014-00027,0.0
BDU:2014-00169,0.0
BDU:2014-00119,0.0
BDU:2014-00275,0.0
BDU:2014-00248,0.0
BDU:2014-00008,0.0
BDU:2014-00155,0.0
BDU:2014-00253,0.0
BDU:2014-00294,0.0
BDU:2014-00443,0.0
BDU:2014-00157,0.0
BDU:2015-00044,0.0
BDU:2014-00131,0.0
BDU:2014-00339,0.0
BDU:2014-00112,0.0
BDU:2014-00431,0.0
BDU:2014-00281,0.0
BDU:2014-00459,0.0
BDU:2014-00033,0.0
BDU:2014-00035,0.0
BDU:2014-00241,0.0
BDU:2014-00272,0.0
BDU:2014-00186,0.0
BDU:2014-00232,0.0
BDU:2014-00301,0.0
BDU:2014-00353,0.0
BDU:2014-00310,0.0
BDU:2014-00141,0.0
BDU:2014-00183,0.0
BDU:2014-00192,0.0
BDU:2014-00315,0.0
BDU:2014-00323,0.0
BDU:2014-00015,0.0
BDU:2014-00133,0.0
BDU:2014-00366,0.0
BDU:2014-00193,0.0019398999999999944
BDU:2014-00184,0.0
BDU:2015-00018,0.0
BDU:2014-00009,0.0
BDU:2014-00120,0.0
BDU:2014-00198,0.0
BDU:2014-00129,0.0
BDU:2014-00468,0.0
BDU:2014-00001,0.0
BDU:2014-00365,0.0
BDU:2014-00037,0.0
BDU:2014-00349,0.0
BDU:2014-00196,0.0
BDU:2014-00159,0.0
BDU:2014-00330,0.0
BDU:2015-00024,0.0
